年月,件数,平米単価,価格,専有面積,築年数,物件種別,販売状況,都道府県,地域
2021年6月,802,35.15,2376,67.6,27.29,中古MS,在庫,神奈川県,湘南地区
2021年7月,803,36.81,2462,66.89,27.5,中古MS,在庫,神奈川県,湘南地区
2021年8月,845,37.69,2533,67.19,27.08,中古MS,在庫,神奈川県,湘南地区
2021年9月,809,37.26,2478,66.5,27.37,中古MS,在庫,神奈川県,湘南地区
2021年10月,814,38.22,2496,65.31,27.79,中古MS,在庫,神奈川県,湘南地区
2021年11月,786,40.02,2603,65.03,27.14,中古MS,在庫,神奈川県,湘南地区
2021年12月,764,40.79,2691,65.97,26.81,中古MS,在庫,神奈川県,湘南地区
2022年1月,799,41.98,2784,66.3,27.02,中古MS,在庫,神奈川県,湘南地区
2022年2月,822,42.11,2794,66.36,27.53,中古MS,在庫,神奈川県,湘南地区
2022年3月,797,42.04,2771,65.92,27.99,中古MS,在庫,神奈川県,湘南地区
2022年4月,810,42.19,2817,66.78,28.22,中古MS,在庫,神奈川県,湘南地区
2021年4月,63,3522,76.85,93.84,24.64,中古戸建,成約,東京都,城東地区
2021年5月,62,3726,70.83,92.25,19.1,中古戸建,成約,東京都,城東地区
2021年6月,90,3671,76.23,93.18,18.72,中古戸建,成約,東京都,城東地区
2021年7月,66,3709,84.09,94.46,22.85,中古戸建,成約,東京都,城東地区
2021年8月,59,4012,78.31,96.75,19.54,中古戸建,成約,東京都,城東地区
2021年9月,61,3894,77.94,98.53,20.32,中古戸建,成約,東京都,城東地区
2021年10月,73,3951,80.14,95.41,18.06,中古戸建,成約,東京都,城東地区
2021年11月,74,4483,83.82,107.41,18.59,中古戸建,成約,東京都,城東地区
2021年12月,74,4761,91.72,102.06,20.16,中古戸建,成約,東京都,城東地区
2022年1月,43,4118,83.01,103.38,21.51,中古戸建,成約,東京都,城東地区
2022年2月,55,4028,74.92,95.29,22.83,中古戸建,成約,東京都,城東地区
2022年3月,76,4167,73.04,94.23,20.01,中古戸建,成約,東京都,城東地区
2022年4月,54,4561,77.79,91.7,19.08,中古戸建,成約,東京都,城東地区
2021年4月,75,7549,96.46,106.12,18.43,中古戸建,成約,東京都,城南地区
2021年5月,73,7640,93.16,106.2,19.38,中古戸建,成約,東京都,城南地区
2021年6月,73,8019,105.77,108.46,17.32,中古戸建,成約,東京都,城南地区
2021年7月,67,7492,81.46,98.37,19.1,中古戸建,成約,東京都,城南地区
2021年8月,62,7570,84.16,101.89,15.74,中古戸建,成約,東京都,城南地区
2021年9月,64,8460,96.17,108.39,16.99,中古戸建,成約,東京都,城南地区
2021年10月,58,8120,93.14,99.89,18.11,中古戸建,成約,東京都,城南地区
2021年11月,63,8009,92.91,105.1,17.48,中古戸建,成約,東京都,城南地区
2021年12月,72,7915,96.49,105.88,19.97,中古戸建,成約,東京都,城南地区
2022年1月,47,6892,82.29,97.97,16.03,中古戸建,成約,東京都,城南地区
2022年2月,70,7950,91.25,102.93,15.31,中古戸建,成約,東京都,城南地区
2022年3月,70,8507,96.94,108.57,15.59,中古戸建,成約,東京都,城南地区
2022年4月,66,7487,86.12,100.18,16.82,中古戸建,成約,東京都,城南地区
2021年4月,32,7334,91.5,106.8,18.87,中古戸建,成約,東京都,城西地区
2021年5月,31,6561,95.31,93.52,20.65,中古戸建,成約,東京都,城西地区
2021年6月,35,7746,93.88,102.26,16.2,中古戸建,成約,東京都,城西地区
2021年7月,39,9173,115.46,113.13,19.8,中古戸建,成約,東京都,城西地区
2021年8月,37,7016,92.83,100.45,17.14,中古戸建,成約,東京都,城西地区
2021年9月,30,5969,72.9,80.77,17.25,中古戸建,成約,東京都,城西地区
2021年10月,40,7101,94.16,101.37,22.88,中古戸建,成約,東京都,城西地区
2021年11月,30,6894,88.13,89.77,17.73,中古戸建,成約,東京都,城西地区
2021年12月,36,6782,85.52,97.08,17.57,中古戸建,成約,東京都,城西地区
2022年1月,31,6225,75.29,91.21,16.54,中古戸建,成約,東京都,城西地区
2022年2月,29,6954,95.38,97.39,20.89,中古戸建,成約,東京都,城西地区
2022年3月,33,7982,99.89,104.75,16.17,中古戸建,成約,東京都,城西地区
2022年4月,41,9299,91.71,109.35,20.24,中古戸建,成約,東京都,城西地区
2021年4月,53,5167,92.69,98.79,19.7,中古戸建,成約,東京都,城北地区
2021年5月,49,5111,100.88,98.4,17.7,中古戸建,成約,東京都,城北地区
2021年6月,54,5676,93.21,102.78,18.91,中古戸建,成約,東京都,城北地区
2021年7月,38,5312,96.58,105.8,18.22,中古戸建,成約,東京都,城北地区
2021年8月,34,4832,85.3,89.32,18.71,中古戸建,成約,東京都,城北地区
2021年9月,56,4712,84.46,93.4,23.1,中古戸建,成約,東京都,城北地区
2021年10月,54,5085,94.65,93.49,18.92,中古戸建,成約,東京都,城北地区
2021年11月,52,5367,88.88,92.71,21.7,中古戸建,成約,東京都,城北地区
2021年12月,40,5217,78.3,86.92,20.24,中古戸建,成約,東京都,城北地区
2022年1月,32,5823,89.51,101.56,17.26,中古戸建,成約,東京都,城北地区
2022年2月,46,6025,85.6,95.12,16.78,中古戸建,成約,東京都,城北地区
2022年3月,63,5652,95.18,102.32,21.71,中古戸建,成約,東京都,城北地区
2022年4月,39,5033,83.68,92.74,24.01,中古戸建,成約,東京都,城北地区
2021年4月,184,3431,144.05,104.36,21.05,中古戸建,成約,東京都,多摩地区
2021年5月,198,3210,134.59,95.88,20.54,中古戸建,成約,東京都,多摩地区
2021年6月,189,3483,134.52,101.45,19.36,中古戸建,成約,東京都,多摩地区
2021年7月,186,3403,134.41,102.34,21.37,中古戸建,成約,東京都,多摩地区
2021年8月,138,3436,135.91,104.62,22.45,中古戸建,成約,東京都,多摩地区
2021年9月,162,3302,132.7,97.06,19.78,中古戸建,成約,東京都,多摩地区
2021年10月,185,3513,145.98,99.66,21.34,中古戸建,成約,東京都,多摩地区
2021年11月,165,3756,139.02,102.14,19.33,中古戸建,成約,東京都,多摩地区
2021年12月,155,3452,124.47,94.76,20.11,中古戸建,成約,東京都,多摩地区
2022年1月,145,3615,132.07,100.81,19.88,中古戸建,成約,東京都,多摩地区
2022年2月,174,3683,130.05,100.25,19.8,中古戸建,成約,東京都,多摩地区
2022年3月,165,3773,139.27,102.6,19.44,中古戸建,成約,東京都,多摩地区
2022年4月,154,3886,132.06,101.99,19.95,中古戸建,成約,東京都,多摩地区
2021年4月,45,3080,118.57,104.72,13.82,中古戸建,成約,埼玉県,さいたま市
2021年5月,59,3049,125.36,102.03,20.18,中古戸建,成約,埼玉県,さいたま市
2021年6月,49,3184,152.13,108.37,18.94,中古戸建,成約,埼玉県,さいたま市
2021年7月,38,2986,118.37,103.96,19.67,中古戸建,成約,埼玉県,さいたま市
2021年8月,31,3136,120.64,107.9,19.39,中古戸建,成約,埼玉県,さいたま市
2021年9月,43,4034,136.24,119.74,17.53,中古戸建,成約,埼玉県,さいたま市
2021年10月,45,3342,123.44,106.49,17.35,中古戸建,成約,埼玉県,さいたま市
2021年11月,34,3070,118.05,107.64,18.64,中古戸建,成約,埼玉県,さいたま市
2021年12月,39,3236,117.39,105.73,21.27,中古戸建,成約,埼玉県,さいたま市
2022年1月,35,3439,142.56,106.57,22.95,中古戸建,成約,埼玉県,さいたま市
2022年2月,37,4163,141.97,114.11,15.45,中古戸建,成約,埼玉県,さいたま市
2022年3月,45,3057,128.22,109.99,19.04,中古戸建,成約,埼玉県,さいたま市
2022年4月,33,3155,132.68,110.01,18.7,中古戸建,成約,埼玉県,さいたま市
2021年4月,41,2555,115.3,100.32,18.66,中古戸建,成約,埼玉県,中央地区
2021年5月,42,2295,105.7,95.27,20.36,中古戸建,成約,埼玉県,中央地区
2021年6月,38,2983,123.38,110.56,20.02,中古戸建,成約,埼玉県,中央地区
2021年7月,44,3123,115.58,104.79,17.57,中古戸建,成約,埼玉県,中央地区
2021年8月,20,2743,127.57,104.36,22.75,中古戸建,成約,埼玉県,中央地区
2021年9月,28,3205,105.82,105.36,20.46,中古戸建,成約,埼玉県,中央地区
2021年10月,22,2966,107.71,104.31,19.6,中古戸建,成約,埼玉県,中央地区
2021年11月,30,3055,113.49,106.65,15.93,中古戸建,成約,埼玉県,中央地区
2021年12月,28,2546,94.66,91.69,21.04,中古戸建,成約,埼玉県,中央地区
2022年1月,21,3267,145.76,118.08,20.68,中古戸建,成約,埼玉県,中央地区
2022年2月,26,3048,103.26,92.78,15.33,中古戸建,成約,埼玉県,中央地区
2022年3月,33,3288,122.35,104.55,19.09,中古戸建,成約,埼玉県,中央地区
2022年4月,27,2973,114.16,98.09,20.01,中古戸建,成約,埼玉県,中央地区
2021年4月,76,2707,126.69,97.48,20.24,中古戸建,成約,埼玉県,西部地区
2021年5月,76,2243,116.53,92.55,23.1,中古戸建,成約,埼玉県,西部地区
2021年6月,64,2467,112.77,101.79,20.48,中古戸建,成約,埼玉県,西部地区
2021年7月,76,2400,135.57,105.06,20.85,中古戸建,成約,埼玉県,西部地区
2021年8月,61,2373,119.73,93.95,21,中古戸建,成約,埼玉県,西部地区
2021年9月,72,2317,117.97,99.01,22.64,中古戸建,成約,埼玉県,西部地区
2021年10月,90,2278,122.81,96.26,21.51,中古戸建,成約,埼玉県,西部地区
2021年11月,61,2554,135.82,101.93,21.94,中古戸建,成約,埼玉県,西部地区
2021年12月,61,2476,131.12,103.31,21.87,中古戸建,成約,埼玉県,西部地区
2022年1月,56,2280,137.55,100.13,24.73,中古戸建,成約,埼玉県,西部地区
2022年2月,79,2582,162.37,103.81,21.86,中古戸建,成約,埼玉県,西部地区
2022年3月,76,2231,127.95,98.69,22.75,中古戸建,成約,埼玉県,西部地区
2022年4月,75,2503,128.44,97.43,22,中古戸建,成約,埼玉県,西部地区
2021年4月,55,2541,150.48,112.35,24.4,中古戸建,成約,埼玉県,東部地区
2021年5月,42,1852,122,98.76,23.59,中古戸建,成約,埼玉県,東部地区
2021年6月,45,2135,125.57,95.18,24.63,中古戸建,成約,埼玉県,東部地区
2021年7月,39,2115,130.8,103.15,23.96,中古戸建,成約,埼玉県,東部地区
2021年8月,35,2361,114.5,98.66,18.62,中古戸建,成約,埼玉県,東部地区
2021年9月,43,2517,120.65,98.66,18.21,中古戸建,成約,埼玉県,東部地区
2021年10月,50,2297,116.43,97.38,21.26,中古戸建,成約,埼玉県,東部地区
2021年11月,45,2715,139.22,107.71,20.37,中古戸建,成約,埼玉県,東部地区
2021年12月,31,2544,124.69,101.71,21.01,中古戸建,成約,埼玉県,東部地区
2022年1月,36,2547,110.62,99.74,19.89,中古戸建,成約,埼玉県,東部地区
2022年2月,37,2660,120.11,97.79,21.75,中古戸建,成約,埼玉県,東部地区
2022年3月,42,2481,124.83,101.1,18.3,中古戸建,成約,埼玉県,東部地区
2022年4月,42,2546,129.2,100.99,21.27,中古戸建,成約,埼玉県,東部地区
2021年4月,71,2605,131.27,99.89,23.2,中古戸建,成約,千葉県,総武地区
2021年5月,77,2723,133.72,102.94,21.5,中古戸建,成約,千葉県,総武地区
2021年6月,74,2844,126.29,100.87,19.72,中古戸建,成約,千葉県,総武地区
2021年7月,71,2700,130.12,101.34,20.06,中古戸建,成約,千葉県,総武地区
2021年8月,49,3076,141.96,103.29,22.35,中古戸建,成約,千葉県,総武地区
2021年9月,55,2998,137.41,107.15,21.42,中古戸建,成約,千葉県,総武地区
2021年10月,61,3182,131.64,102.82,21.24,中古戸建,成約,千葉県,総武地区
2021年11月,65,3082,135.54,106.72,24.81,中古戸建,成約,千葉県,総武地区
2021年12月,58,3049,140.86,103.43,24.27,中古戸建,成約,千葉県,総武地区
2022年1月,50,3338,125.4,103.14,18.49,中古戸建,成約,千葉県,総武地区
2022年2月,53,3594,128.88,105.82,18.99,中古戸建,成約,千葉県,総武地区
2022年3月,52,3067,128.08,102.82,21.22,中古戸建,成約,千葉県,総武地区
2022年4月,48,3092,125.28,99.97,21.04,中古戸建,成約,千葉県,総武地区
2021年4月,81,2386,148.31,102.03,19.78,中古戸建,成約,千葉県,常磐地区
2021年5月,78,2275,157.9,104.76,21.61,中古戸建,成約,千葉県,常磐地区
2021年6月,60,2048,140.72,102.88,21.47,中古戸建,成約,千葉県,常磐地区
2021年7月,61,2155,147.23,102.44,23.87,中古戸建,成約,千葉県,常磐地区
2021年8月,64,2118,150.79,112.98,22.41,中古戸建,成約,千葉県,常磐地区
2021年9月,85,2375,148,105.78,21.89,中古戸建,成約,千葉県,常磐地区
2021年10月,70,2365,139.09,105.54,20.33,中古戸建,成約,千葉県,常磐地区
2021年11月,80,2303,141.52,104.49,23,中古戸建,成約,千葉県,常磐地区
2021年12月,67,2261,147.52,106.62,22.38,中古戸建,成約,千葉県,常磐地区
2022年1月,59,2460,150.21,110.95,19.78,中古戸建,成約,千葉県,常磐地区
2022年2月,84,2506,148.44,104.96,19.1,中古戸建,成約,千葉県,常磐地区
2022年3月,81,2555,143.9,103.76,20.58,中古戸建,成約,千葉県,常磐地区
2022年4月,72,2460,154.17,100.29,22.3,中古戸建,成約,千葉県,常磐地区
2021年4月,37,2560,194.44,117.98,18.55,中古戸建,成約,千葉県,千葉市
2021年5月,30,2529,189.05,118.25,24.91,中古戸建,成約,千葉県,千葉市
2021年6月,28,2595,260.61,120.05,20.67,中古戸建,成約,千葉県,千葉市
2021年7月,27,2610,166,109.42,22.55,中古戸建,成約,千葉県,千葉市
2021年8月,25,2159,172.2,118.55,27.16,中古戸建,成約,千葉県,千葉市
2021年9月,33,2305,169.97,120.31,23.53,中古戸建,成約,千葉県,千葉市
2021年10月,15,2922,207.3,121.1,22.29,中古戸建,成約,千葉県,千葉市
2021年11月,35,2756,195.07,126.23,23.63,中古戸建,成約,千葉県,千葉市
2021年12月,34,2485,167.9,110.41,23.45,中古戸建,成約,千葉県,千葉市
2022年1月,22,2498,160.81,114.85,20.64,中古戸建,成約,千葉県,千葉市
2022年2月,41,2374,173.42,109.73,27.16,中古戸建,成約,千葉県,千葉市
2022年3月,32,2697,171.95,119.2,22.86,中古戸建,成約,千葉県,千葉市
2022年4月,28,2501,163.84,123.13,23.23,中古戸建,成約,千葉県,千葉市
2021年4月,155,4045,136.82,105.63,20.35,中古戸建,成約,神奈川県,横浜市
2021年5月,150,3929,142.35,106.22,20.16,中古戸建,成約,神奈川県,横浜市
2021年6月,151,4285,142.87,104.98,21.5,中古戸建,成約,神奈川県,横浜市
2021年7月,133,4151,145.96,107.69,18.6,中古戸建,成約,神奈川県,横浜市
2021年8月,120,4083,143.55,108.83,19.98,中古戸建,成約,神奈川県,横浜市
2021年9月,137,4367,138.32,106.03,18.82,中古戸建,成約,神奈川県,横浜市
2021年10月,134,4253,145.54,105.89,20.31,中古戸建,成約,神奈川県,横浜市
2021年11月,132,4069,149.93,105.99,20.37,中古戸建,成約,神奈川県,横浜市
2021年12月,142,4095,139.88,108.64,20.4,中古戸建,成約,神奈川県,横浜市
2022年1月,128,4205,125.7,105.56,19.17,中古戸建,成約,神奈川県,横浜市
2022年2月,134,4380,135.05,103.81,20.89,中古戸建,成約,神奈川県,横浜市
2022年3月,163,4231,144.76,107.37,21.35,中古戸建,成約,神奈川県,横浜市
2022年4月,126,4416,142.05,105.96,19.49,中古戸建,成約,神奈川県,横浜市
2021年4月,43,4035,101.76,101.48,13.38,中古戸建,成約,神奈川県,川崎市
2021年5月,48,3963,125.92,107.11,20.14,中古戸建,成約,神奈川県,川崎市
2021年6月,51,4426,120.16,103.57,16.12,中古戸建,成約,神奈川県,川崎市
2021年7月,44,4537,91.92,102.7,16.36,中古戸建,成約,神奈川県,川崎市
2021年8月,42,4130,108.24,100.55,16.87,中古戸建,成約,神奈川県,川崎市
2021年9月,48,3976,102.01,96.71,17.64,中古戸建,成約,神奈川県,川崎市
2021年10月,43,4624,111.54,107.42,16.7,中古戸建,成約,神奈川県,川崎市
2021年11月,49,4345,110.17,102.64,17.22,中古戸建,成約,神奈川県,川崎市
2021年12月,35,4170,106.25,103.12,21.16,中古戸建,成約,神奈川県,川崎市
2022年1月,38,4654,101.81,105.55,15,中古戸建,成約,神奈川県,川崎市
2022年2月,43,4672,133.61,104.08,15.93,中古戸建,成約,神奈川県,川崎市
2022年3月,52,3908,106.7,98.41,18.54,中古戸建,成約,神奈川県,川崎市
2022年4月,38,4347,110.35,101.48,19.2,中古戸建,成約,神奈川県,川崎市
2021年4月,34,2541,133.4,98.51,19.22,中古戸建,成約,神奈川県,相模原市
2021年5月,29,2110,128.5,97.5,23.45,中古戸建,成約,神奈川県,相模原市
2021年6月,25,2340,127.43,99.11,21.45,中古戸建,成約,神奈川県,相模原市
2021年7月,23,2632,126.65,109.16,21.43,中古戸建,成約,神奈川県,相模原市
2021年8月,26,2563,140.81,102.94,19.19,中古戸建,成約,神奈川県,相模原市
2021年9月,27,2540,125.45,99.82,22.76,中古戸建,成約,神奈川県,相模原市
2021年10月,20,2602,129.35,100.83,21.95,中古戸建,成約,神奈川県,相模原市
2021年11月,25,2735,121.81,100.91,19.5,中古戸建,成約,神奈川県,相模原市
2021年12月,26,2546,147.59,94.83,25.07,中古戸建,成約,神奈川県,相模原市
2022年1月,28,2675,139.41,97.34,21.36,中古戸建,成約,神奈川県,相模原市
2022年2月,24,2590,118.9,94.58,18.53,中古戸建,成約,神奈川県,相模原市
2022年3月,23,2661,114.76,90.9,18.87,中古戸建,成約,神奈川県,相模原市
2022年4月,29,2484,126.61,94.71,21.77,中古戸建,成約,神奈川県,相模原市
2021年4月,32,2885,216.14,113.14,20.47,中古戸建,成約,神奈川県,県央地区
2021年5月,44,2423,132.33,99.01,19.49,中古戸建,成約,神奈川県,県央地区
2021年6月,43,2453,147.33,107.09,18.46,中古戸建,成約,神奈川県,県央地区
2021年7月,39,2287,152.32,97,20.45,中古戸建,成約,神奈川県,県央地区
2021年8月,26,2544,141.94,105.67,19.58,中古戸建,成約,神奈川県,県央地区
2021年9月,37,2563,141.92,97.32,19.64,中古戸建,成約,神奈川県,県央地区
2021年10月,32,2633,155.06,107.21,21.6,中古戸建,成約,神奈川県,県央地区
2021年11月,41,2586,145.75,102.7,22.17,中古戸建,成約,神奈川県,県央地区
2021年12月,28,2406,141.41,104.09,23.1,中古戸建,成約,神奈川県,県央地区
2022年1月,28,2576,128.35,99.57,21.84,中古戸建,成約,神奈川県,県央地区
2022年2月,38,2967,138.64,101.83,17.29,中古戸建,成約,神奈川県,県央地区
2022年3月,34,2618,140.74,101.67,20.92,中古戸建,成約,神奈川県,県央地区
2022年4月,38,2841,140.62,102.78,17.81,中古戸建,成約,神奈川県,県央地区
2021年4月,70,3656,188.14,116.99,20.49,中古戸建,成約,神奈川県,湘南地区
2021年5月,116,3392,191.65,108.83,23,中古戸建,成約,神奈川県,湘南地区
2021年6月,83,2976,157.26,105.13,23.38,中古戸建,成約,神奈川県,湘南地区
2021年7月,91,3544,166.3,108.08,24.88,中古戸建,成約,神奈川県,湘南地区
2021年8月,74,3193,169.25,105,24.75,中古戸建,成約,神奈川県,湘南地区
2021年9月,79,3327,163.69,107.58,24.82,中古戸建,成約,神奈川県,湘南地区
2021年10月,71,3785,158.3,103.02,21.16,中古戸建,成約,神奈川県,湘南地区
2021年11月,69,3716,172.18,114.73,22.37,中古戸建,成約,神奈川県,湘南地区
2021年12月,78,3088,140.92,95.91,23.68,中古戸建,成約,神奈川県,湘南地区
2022年1月,60,3424,183.07,108.28,21.4,中古戸建,成約,神奈川県,湘南地区
2022年2月,73,4028,177.17,107.92,21.85,中古戸建,成約,神奈川県,湘南地区
2022年3月,86,3652,173.5,106.54,22.46,中古戸建,成約,神奈川県,湘南地区
2022年4月,82,3824,165.09,106.22,23.69,中古戸建,成約,神奈川県,湘南地区
2021年4月,332,4506,84.78,98.79,23.19,中古戸建,新規登録,東京都,城東地区
2021年5月,271,4445,84.04,97.35,23.85,中古戸建,新規登録,東京都,城東地区
2021年6月,311,4707,85.96,103.22,23.66,中古戸建,新規登録,東京都,城東地区
2021年7月,276,4614,79.32,99.71,24.68,中古戸建,新規登録,東京都,城東地区
2021年8月,278,4206,71.54,91.02,25.77,中古戸建,新規登録,東京都,城東地区
2021年9月,269,4100,72.01,89.35,28.26,中古戸建,新規登録,東京都,城東地区
2021年10月,319,4408,78.2,90.45,23.02,中古戸建,新規登録,東京都,城東地区
2021年11月,327,4761,78.3,94.75,24.25,中古戸建,新規登録,東京都,城東地区
2021年12月,248,4596,79.38,96.55,23.87,中古戸建,新規登録,東京都,城東地区
2022年1月,242,4295,76.49,93.95,26.74,中古戸建,新規登録,東京都,城東地区
2022年2月,264,4674,76.67,93.99,24.82,中古戸建,新規登録,東京都,城東地区
2022年3月,289,4475,79.04,96.01,23.65,中古戸建,新規登録,東京都,城東地区
2022年4月,294,4565,73.33,94.25,23.29,中古戸建,新規登録,東京都,城東地区
2021年4月,240,12003,124.12,133.62,19.97,中古戸建,新規登録,東京都,城南地区
2021年5月,230,11423,123.17,127.57,20.58,中古戸建,新規登録,東京都,城南地区
2021年6月,212,9247,101.23,108.14,20.95,中古戸建,新規登録,東京都,城南地区
2021年7月,220,10991,117.79,125.95,20.12,中古戸建,新規登録,東京都,城南地区
2021年8月,189,11089,114.35,121.54,19.68,中古戸建,新規登録,東京都,城南地区
2021年9月,184,10710,109.68,116.96,21.19,中古戸建,新規登録,東京都,城南地区
2021年10月,250,10100,108.83,116.06,20.64,中古戸建,新規登録,東京都,城南地区
2021年11月,235,11830,117.7,126.75,19.85,中古戸建,新規登録,東京都,城南地区
2021年12月,207,11042,114.65,123.73,19.62,中古戸建,新規登録,東京都,城南地区
2022年1月,184,10406,112.06,120.19,21.77,中古戸建,新規登録,東京都,城南地区
2022年2月,211,10208,102.82,115.83,18.16,中古戸建,新規登録,東京都,城南地区
2022年3月,260,10831,102.06,114.41,18.95,中古戸建,新規登録,東京都,城南地区
2022年4月,237,11335,112.02,118.23,19.94,中古戸建,新規登録,東京都,城南地区
2021年4月,147,8578,106.83,108.37,21.06,中古戸建,新規登録,東京都,城西地区
2021年5月,134,9241,101.79,111.08,21.92,中古戸建,新規登録,東京都,城西地区
2021年6月,118,10004,99.77,110.3,23.55,中古戸建,新規登録,東京都,城西地区
2021年7月,155,8452,96.61,106.96,25.61,中古戸建,新規登録,東京都,城西地区
2021年8月,113,7619,90.52,100.56,22.29,中古戸建,新規登録,東京都,城西地区
2021年9月,113,9345,92.56,106.76,18.67,中古戸建,新規登録,東京都,城西地区
2021年10月,138,9138,86.55,102.62,22.32,中古戸建,新規登録,東京都,城西地区
2021年11月,125,10035,98.48,115.32,22.17,中古戸建,新規登録,東京都,城西地区
2021年12月,136,10769,96.34,116.35,23.22,中古戸建,新規登録,東京都,城西地区
2022年1月,111,8386,90.8,98.02,26.99,中古戸建,新規登録,東京都,城西地区
2022年2月,130,9443,94.27,107.32,20.72,中古戸建,新規登録,東京都,城西地区
2022年3月,127,9044,93.51,104.39,24.2,中古戸建,新規登録,東京都,城西地区
2022年4月,124,10936,96.02,113.4,21.13,中古戸建,新規登録,東京都,城西地区
2021年4月,225,5708,96.15,105.13,27.06,中古戸建,新規登録,東京都,城北地区
2021年5月,202,6155,91.54,105.86,26.16,中古戸建,新規登録,東京都,城北地区
2021年6月,198,6141,89.89,106.5,27.14,中古戸建,新規登録,東京都,城北地区
2021年7月,192,6423,87.18,98.86,25.02,中古戸建,新規登録,東京都,城北地区
2021年8月,179,5759,93.92,98.1,26.79,中古戸建,新規登録,東京都,城北地区
2021年9月,200,6101,93.19,102.61,28.84,中古戸建,新規登録,東京都,城北地区
2021年10月,198,6739,93.23,105.2,25.16,中古戸建,新規登録,東京都,城北地区
2021年11月,194,6862,98.09,107.45,25.23,中古戸建,新規登録,東京都,城北地区
2021年12月,165,6392,90.39,99.8,25.66,中古戸建,新規登録,東京都,城北地区
2022年1月,149,6299,91.14,93.66,24.92,中古戸建,新規登録,東京都,城北地区
2022年2月,201,6269,89.86,97.06,25.15,中古戸建,新規登録,東京都,城北地区
2022年3月,162,6106,91.44,97.73,25.7,中古戸建,新規登録,東京都,城北地区
2022年4月,184,6415,84.37,96.92,24.66,中古戸建,新規登録,東京都,城北地区
2021年4月,591,3876,153.73,107.43,24.23,中古戸建,新規登録,東京都,多摩地区
2021年5月,506,3511,147.81,103.94,22.98,中古戸建,新規登録,東京都,多摩地区
2021年6月,499,3878,151.43,108.75,23.13,中古戸建,新規登録,東京都,多摩地区
2021年7月,468,3585,147.81,103.36,23.98,中古戸建,新規登録,東京都,多摩地区
2021年8月,410,3814,151.16,103.69,22.41,中古戸建,新規登録,東京都,多摩地区
2021年9月,454,3852,142.22,104.01,23.01,中古戸建,新規登録,東京都,多摩地区
2021年10月,514,4183,159.36,109.14,23.38,中古戸建,新規登録,東京都,多摩地区
2021年11月,474,3795,149.24,104.51,23.75,中古戸建,新規登録,東京都,多摩地区
2021年12月,462,4159,146.68,103.91,21.88,中古戸建,新規登録,東京都,多摩地区
2022年1月,454,4199,147.13,106.58,22.33,中古戸建,新規登録,東京都,多摩地区
2022年2月,436,3867,144.56,98.49,22.89,中古戸建,新規登録,東京都,多摩地区
2022年3月,438,3870,141.37,100.83,22.99,中古戸建,新規登録,東京都,多摩地区
2022年4月,523,4188,147.21,102.58,22.66,中古戸建,新規登録,東京都,多摩地区
2021年4月,150,3732,136.73,114.18,18.66,中古戸建,新規登録,東京都,さいたま市
2021年5月,155,3928,143.11,116.8,19.31,中古戸建,新規登録,東京都,さいたま市
2021年6月,125,3725,139.96,113.4,19.49,中古戸建,新規登録,東京都,さいたま市
2021年7月,157,3864,129.13,110.88,17.57,中古戸建,新規登録,東京都,さいたま市
2021年8月,127,3285,122.21,104.17,21.29,中古戸建,新規登録,東京都,さいたま市
2021年9月,147,3360,131.38,105.68,20.76,中古戸建,新規登録,東京都,さいたま市
2021年10月,162,3837,131.15,107.99,17.48,中古戸建,新規登録,東京都,さいたま市
2021年11月,144,3861,131.78,108.86,19.49,中古戸建,新規登録,東京都,さいたま市
2021年12月,153,3729,141.99,105.52,22.08,中古戸建,新規登録,東京都,さいたま市
2022年1月,130,4093,138.51,112.87,20.68,中古戸建,新規登録,東京都,さいたま市
2022年2月,144,4052,128.3,110.17,18.72,中古戸建,新規登録,東京都,さいたま市
2022年3月,146,4147,133.46,109.34,19.33,中古戸建,新規登録,東京都,さいたま市
2022年4月,166,4504,141.84,116.08,20.06,中古戸建,新規登録,東京都,さいたま市
2021年4月,122,2874,107.28,98.69,22.22,中古戸建,新規登録,埼玉県,中央地区
2021年5月,120,3133,105.67,97.63,19.21,中古戸建,新規登録,埼玉県,中央地区
2021年6月,129,2943,108.49,98.8,19.72,中古戸建,新規登録,埼玉県,中央地区
2021年7月,98,3382,107.66,101.26,20.44,中古戸建,新規登録,埼玉県,中央地区
2021年8月,101,3316,102.6,102.83,20.21,中古戸建,新規登録,埼玉県,中央地区
2021年9月,111,3280,102.59,96.58,19.23,中古戸建,新規登録,埼玉県,中央地区
2021年10月,115,3332,116.57,102.69,17.5,中古戸建,新規登録,埼玉県,中央地区
2021年11月,106,3398,107,100.11,18.22,中古戸建,新規登録,埼玉県,中央地区
2021年12月,113,3618,117.96,104.64,20.17,中古戸建,新規登録,埼玉県,中央地区
2022年1月,96,3316,112.62,99.37,19.57,中古戸建,新規登録,埼玉県,中央地区
2022年2月,103,3367,111.25,98.04,19.84,中古戸建,新規登録,埼玉県,中央地区
2022年3月,114,3401,104.15,100.77,17.49,中古戸建,新規登録,埼玉県,中央地区
2022年4月,127,3316,110.96,98.53,18.61,中古戸建,新規登録,埼玉県,中央地区
2021年4月,243,2467,121.86,96.62,23.91,中古戸建,新規登録,埼玉県,西部地区
2021年5月,221,2502,119.82,98.9,24.11,中古戸建,新規登録,埼玉県,西部地区
2021年6月,240,2462,131.55,96.74,25.28,中古戸建,新規登録,埼玉県,西部地区
